squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
10.0,0.00181184300533911,0.01,0.010108710580320346,0.015163065870480517,1.0,5000.0,0.9738,0.0262,1.1696446909016225,0.7954091951772986,0.772610209158511,0.001543552901601733
10.0,0.00181184300533911,0.01,0.010108710580320346,0.015163065870480517,3.0,5000.0,0.9726,0.0274,1.1721159777914867,0.7954091951772986,0.7918900510750105,0.001543552901601733
10.0,0.00181184300533911,0.01,0.010108710580320346,0.015163065870480517,5.0,5000.0,0.9732,0.0268,1.1800246609124538,0.7954091951772986,0.7948659966682744,0.001543552901601733
10.0,0.00181184300533911,0.01,0.010108710580320346,0.015163065870480517,7.0,5000.0,0.9744,0.0256,1.1853448275862069,0.7954091951772985,0.7953253496138233,0.001543552901601733
10.5,0.0015209643313634966,0.01,0.010091257859881811,0.015136886789822715,1.0,5000.0,0.9704,0.0296,1.185078318219291,0.79531700813477,0.773813658190762,0.001456289299409049
10.5,0.0015209643313634966,0.01,0.010091257859881811,0.015136886789822715,3.0,5000.0,0.9714,0.0286,1.1857113444513074,0.7953170081347701,0.7921854982922794,0.001456289299409049
10.5,0.0015209643313634966,0.01,0.010091257859881811,0.015136886789822715,5.0,5000.0,0.9726,0.0274,1.1737610528480362,0.79531700813477,0.7948609697073085,0.001456289299409049
10.5,0.0015209643313634966,0.01,0.010091257859881811,0.015136886789822715,7.0,5000.0,0.9756,0.0244,1.1779417794177942,0.79531700813477,0.795250595746567,0.001456289299409049
11.0,0.0012767841863026304,0.01,0.010076607051178157,0.015114910576767235,1.0,5000.0,0.971,0.029,1.1740473738414006,0.7952395795296051,0.774823242158414,0.0013830352558907892
11.0,0.0012767841863026304,0.01,0.010076607051178157,0.015114910576767235,3.0,5000.0,0.9714,0.0286,1.174593370393247,0.7952395795296051,0.7924159280915531,0.0013830352558907892
